Category,2025 (mDKK),2024 (mDKK)
Intangible assets,23.00,32.00
Tangible assets,"8,245.00","7,478.00"
Fixed asset investments,113.00,102.00
Fixed assets,"8,381.00","7,612.00"
Inventories,"11,198.00","10,413.00"
Receivables,"5,132.00","2,091.00"
Cash at bank and in hand,"2,301.00","2,589.00"
Current assets,"18,631.00","15,093.00"
Assets,"27,012.00","22,705.00"
Equity,"19,481.00","16,493.00"
Long‑term debt,332.00,0.00
Short‑term debt,"7,199.00","6,212.00"
Debt,"7,531.00","6,212.00"
Liabilities and equity,"27,012.00","22,705.00"
