Category,2024/25 (mDKK),2023/24 (mDKK)
Result for the year,4417,3511
Adjustments,2533,2365
Change in working capital,-628,403
Cash flows from operating activities before financial income and expenses,6322,6279
Financial income,178,189
Financial expenses,-318,-422
Cash flow from ordinary activities,6182,6046
Corporation tax paid,-676,-783
Cash flow from operating activities,5506,5263
Purchase of intangible assets,-16,-18
Purchase of tangible assets,-2055,-1696
Sale of fixed asset investments,41,11
Purchase of fixed asset investments,-13,-11
Cash flow used in investing activities,-2043,-1684
Cash flow used in financing activities,-3751,-3342
Total cash flow for the year,-288,237
Cash and cash equivalents on 1 September,2589,2352
Cash and cash equivalents on 31 August,2301,2589
